mature NK T cell,"activated CD8-positive, alpha-beta T cell",B cell,native cell,mesothelial cell,smooth muscle cell,CD14-positive monocyte,mast cell,monocyte,"activated CD4-positive, alpha-beta T cell",natural killer cell,fibroblast,neural cell,endothelial cell,dendritic cell,regular atrial cardiac myocyte,"CD8-positive, alpha-beta cytotoxic T cell",macrophage,capillary endothelial cell,"CD14-positive, CD16-positive monocyte",endothelial cell of artery,vein endothelial cell,pericyte cell,epicardial adipocyte,regular ventricular cardiac myocyte,"CD4-positive, alpha-beta cytotoxic T cell",endothelial,alpha,ductal,acinar,delta,gamma,beta,CD8+ T cells,NKT cells,CD4+ T cells,HSPCs,Erythrocytes,Plasmacytoid dendritic cells,Monocyte-derived dendritic cells,CD16+ Monocytes,CD14+ Monocytes,NK cells,Erythroid progenitors,Plasma cells,Megakaryocyte progenitors,CD10+ B cells,CD20+ B cells,Monocyte progenitors
SKAP1,THEMIS,WDFY4,ABCA6,GFPT2,PLA2G5,MERTK,SLC18A2,KYNU,INPP4B,AOAH,ACSM3,GPM6B,EGFL7,KIF18B,ZNF385B,PTPRC,SLC9A9,CA4,DIRC3,FLT1,ANO2,PDZD2,PPARG,SLC8A1,C15orf53,CLPS,FEV,LAMC2,GSTA2,UCP2,PAX6,RBP4,OXNAD1,GZMH,IL32,MSI2,KRT1,UGCG,HLA-DMB,RHOC,CSTA,CTSW,APOC1,XBP1,CDK6,CYGB,NFKBID,CFD
PARP8,STAT4,FAM129C,GSN,KRT19,TBX2,IL1R2,FER,DCSTAMP,ARHGAP15,APBA2,ABCA10,ADGRB3,SMOC1,CENPP,PALLD,CD2,FRMD4B,LDB2,MSR1,PTPRB,NOSTRIN,PLA2G5,SOX5,C15orf41,CD2,PLA2G1B,CRYBA2,KRT7,LYZ,NGFR,PCSK1N,NPTX2,CD3G,GZMM,CD3G,SOX4,NCOA4,TCF4,CD1C,SERPINA1,LYZ,CCL4,GATA1,FKBP2,ALDH1A1,STMN1,CD79B,ANKRD28
SAMD3,DUSP2,PAX5,ABCA8,HAS1,CACNA1C,TBXAS1,STX3,TPRG1,THEMIS,SAMD3,COL6A3,KIRREL3,PCDH7,COLEC12,TBX5,ZNF831,LYVE1,RGCC,FMN1,ANO2,EMCN,PTH1R,ACSL1,MYBPC3,ARHGAP15,CELA3B,TMEM176A,TACSTD2,SPINK1,GAP43,SLC6A4,SYT13,CD3D,IL32,CD40LG,FHL1,MKRN1,SMPD3,HLA-DQB1,CAMK1,CTSS,GZMB,TUBB,ITM2C,CMTM5,CD79A,CD19,LYZ
KCNQ5,GZMK,OSBPL10,ACSM3,UPK3B,PDGFRB,HCK,TNIK,TBXAS1,SELL,PYHIN1,DCLK1,LGI4,INHBA,BUB1B,PAM,SKAP1,FMN1,PTPRM,TBXAS1,HEY1,TPO,PDE1C,ME1,FHOD3,CD69,CPA1,TMEM176B,CCL2,CPA2,CALB1,TM4SF4,C1ORF127,CD7,CD8A,TNFRSF4,ANKRD28,GMPR,ITM2C,ANXA2,LRRC25,CST3,CD7,NFIA,HERPUD1,PDLIM1,SOX4,HLA-DRA,CSTA
CD96,TC2N,CCSER1,COL6A3,WWC1,DLC1,FCN1,SLC8A3,OLR1,TRABD2A,SKAP1,ABCA9-AS1,NCAM2,HMCN1,BRCA2,MYL4,FYN,C1QC,MGLL,CTSB,EGFL7,PKP4,EPS8,GHR,CACNA1C,JAKMIP1,CPA2,GPX3,ANXA3,REG3G,DHRS2,SCG2,RGS16,SH3YL1,CD3E,LCK,HOPX,MPP1,CCDC50,HLA-DRA,AIF1,S100A11,HOPX,TSPAN17,SPAG4,RBPMS2,RCSD1,CD74,SRGN
PYHIN1,DTHD1,ADAM28,NPPC,PKHD1L1,RGS6,CLEC7A,TPSB2,CTSB,ANK3,SYTL3,CDH19,SHISA9,BMPER,MKI67,NPPA,CNOT6L,SLCO2B1,EMCN,NPL,ST6GALNAC3,EGFL7,PRKG1,LPL,MYOM1,IKZF1,CUZD1,VGF,ALDH1A3,KLK1,PAPPA2,FXYD2,ABCC8,NELL2,TNFAIP3,IFITM1,DDAH2,HBA1,APP,AXL,TCF7L2,G0S2,GZMA,MBOAT2,CHPF,SOX4,CD72,VPREB3,PLAC8
CCL4,SKAP1,AIM2,CDH19,MSLN,MRVI1,MSR1,MS4A2,SPOCD1,IKZF1,CARD11,RORA,SCN7A,ENG,ATAD2,CADPS,SYTL3,RGL1,ID1,MARCO,LDB2,CADM3-AS1,SLC16A12,LIPE-AS1,TENM2,CD96,CPB1,LOXL4,CFB,PRSS1,CDH19,ARX,VAT1L,IL32,CD3D,TCF7,PCDH9,BLVRB,TPM2,COTL1,FCER1G,MS4A6A,CST7,TMEM56,SLAMF7,HDC,POU2AF1,HLA-DPB1,LGALS1
KLRF1,BCL11B,PLCG2,ABCA9-AS1,KRT18,RBPMS,MYO1F,RAB27B,RNF149,TXK,CD96,GSN,NKAIN3,TMEM132C,GTSE1,CMYA5,PRKCQ,MSR1,ANXA3,F13A1,PTPRM,CPXM2,NR2F2-AS1,ADIPOQ,DMD,PBX4,PRSS3,KCTD12,PMEPA1,CPB1,GPX3,PTPRN,PDX1,CD27,CD8B,CD69,BEX2,LGALS3,PPP1R14B,HLA-DMA,SAT1,TYMP,KLRB1,FHL2,TNFRSF13B,APOC1,PAX5,HLA-DRB1,TNFSF13B
XCL1,CD8A,CD74,MMP2,BNC2,NR2F2-AS1,FCAR,BMP2K,RAB31,SERINC5,PARP8,CFD,FRMD5,GMDS,EZH2,SYNPR,ETS1,NEURL2,ST6GALNAC3,MYO1F,GALNT18,MYRIP,STEAP4,MLXIPL,LDB3,TC2N,AMY2A,PCSK1N,GPRC5B,CTRB2,PIPOX,FGB,GAD2,CPA5,RORA,PIK3IP1,RAMP1,FBXO7,IRF4,CACNA2D3,TPPP3,FCER1G,CD160,HIST1H4C,BHLHE41,CLC,LAT2,HLA-DRB5,SERPINB1
TOX,PRKCQ,POU2AF1,VIT,CFB,RCAN2,ANPEP,TPSAB1,MERTK,BTBD11,SLFN12L,MGP,ANK3,NRG3,NUSAP1,LDB3,STAT4,CTSB,TNNT3,ELAVL4,CPAMD8,RAB3C,EBF2,ACSS2,PALLD,PRKCQ,CELA3A,FXYD5,KRT23,PNLIP,CALCB,SLITRK6,UCHL1,PIK3IP1,CMC1,CD7,MEIS1,TRIM58,CLEC4C,CD74,VMO1,LST1,SH2D1B,AK1,BRSK1,ARHGAP6,BLNK,ARHGAP24,GSTP1
STAT4,GZMH,CNR2,PRKG1,RBFOX1,HES4,RNF149,RGS13,SIPA1L1,CD6,SH2D1B,FBLN1,KCNMB4,VWF,RBPJ,PXDNL,JAKMIP1,ZEB2,SLC9C1,ABCC3,ADGRF5,SELE,HIGD1B,GPD1,NEXN,SLAMF6,CEL,CALY,ANXA4,CTRB1,TMOD1,PTP4A3,STX1A,LRRN3,KLRG1,AP3M2,TMEM163,PDZK1IP1,PTCRA,LYZ,COTL1,CLEC7A,NCAM1,HES6,SPCS2,ALOX12,FAM111B,ADAM28,CCL23
